Common Name,Scientific Name,,,,,,,
Purple Sunbird,Cinnyris asiaticus,,,,,,,
Purple-rumped Sunbird,Leptocoma zeylonica,,,,,,,
Pale-billed Flowerpecker,Dicaeum erythrorhynchos,,,,,,,
Oriental Magpie-Robin,Copsychus saularis,,,,,,,
Common Myna,Acridotheres tristis,,,,,,,
Common Tailorbird,Orthotomus sutorius,,,,,,,
House Crow,Corvus splendens,,,,,,,
Black Kite,Milvus migrans,,,,,,,
Asian Koel,Eudynamys scolopaceus,,,,,,,
Rock Pigeon,Columba livia,,,,,,,
Jungle Myna,Acridotheres fuscus,,,,,,,
Large-billed Crow,Corvus macrorhynchos,,,,,,,
Rose-ringed Parakeet,Psittacula krameri,,,,,,,
Indian Gray Hornbill,Ocyceros birostris,,,,,,,
Shikra,Tachyspiza badia,,,,,,,
Eastern Cattle-Egret,Ardea coromanda,,,,,,,
Spotted Dove,Spilopelia chinensis,,,,,,,
Little Swift,Apus affinis,,,,,,,
Gray Francolin,Ortygornis pondicerianus,,,,,,,
Red-vented Bulbul,Pycnonotus cafer,,,,,,,
Red-whiskered Bulbul,Pycnonotus jocosus,,,,,,,
Indian Pond-Heron,Ardeola grayii,,,,,,,
Asian Palm Swift,Cypsiurus balasiensis,,,,,,,
White-throated Kingfisher,Halcyon smyrnensis,,,,,,,
Eastern Red-rumped Swallow,Cecropis daurica,,,,,,,
White-cheeked Barbet,Psilopogon viridis,,,,,,,
Brahminy Kite,Haliastur indus,,,,,,,
Pied Bushchat,Saxicola caprata,,,,,,,
Rosy Starling,Pastor roseus,,,,,,,
Asian Tit,Parus cinereus,,,,,,,
Small Minivet,Pericrocotus cinnamomeus,,,,,,,
Greater Coucal,Centropus sinensis,,,,,,,
Ashy Prinia,Prinia socialis,,,,,,,
Coppersmith Barbet,Psilopogon haemacephalus,,,,,,,
Red-wattled Lapwing,Vanellus indicus,,,,,,,
White-naped Woodpecker,Chrysocolaptes festivus,,,,,,,
Indian Robin,Copsychus fulicatus,,,,,,,
Ashy Drongo,Dicrurus leucophaeus,,,,,,,
Black-crowned Night Heron,Nycticorax nycticorax,,,,,,,
Laughing Dove,Spilopelia senegalensis,,,,,,,
Blue-tailed Bee-eater,Merops philippinus,,,,,,,
Asian Openbill,Anastomus oscitans,,,,,,,
Common Hawk-Cuckoo,Hierococcyx varius,,,,,,,
Taiga Flycatcher,Ficedula albicilla,,,,,,,
Black Drongo,Dicrurus macrocercus,,,,,,,
Wire-tailed Swallow,Hirundo smithii,,,,,,,
Barn Swallow,Hirundo rustica,,,,,,,
Indian Golden Oriole,Oriolus kundoo,,,,,,,
Little Egret,Egretta garzetta,,,,,,,
Spot-breasted Fantail,Rhipidura albogularis,,,,,,,
Eurasian Hoopoe,Upupa epops,,,,,,,
Blyth's Reed Warbler,Acrocephalus dumetorum,,,,,,,
Common Iora,Aegithina tiphia,,,,,,,
Red-naped Ibis,Pseudibis papillosa,,,,,,,
Medium Egret,Ardea intermedia,,,,,,,
Black-naped Oriole,Oriolus chinensis,,,,,,,
Red-breasted Flycatcher,Ficedula parva,,,,,,,
Oriental Honey-buzzard,Pernis ptilorhynchus,,,,,,,
Black-headed Ibis,Threskiornis melanocephalus,,,,,,,
Eurasian Collared-Dove,Streptopelia decaocto,,,,,,,
Black-headed Cuckooshrike,Lalage melanoptera,,,,,,,
Asian Brown Flycatcher,Muscicapa dauurica,,,,,,,
Painted Stork,Mycteria leucocephala,,,,,,,
Yellow-billed Babbler,Argya affinis,,,,,,,
Gray-bellied Cuckoo,Cacomantis passerinus,,,,,,,
Booted Eagle,Hieraaetus pennatus,,,,,,,
Asian Green Bee-eater,Merops orientalis,,,,,,,
Little Cormorant,Microcarbo niger,,,,,,,
Chestnut-tailed Starling,Sturnia malabarica,,,,,,,
Spot-billed Pelican,Pelecanus philippensis,,,,,,,
Oriental Skylark,Alauda gulgula,,,,,,,
Black-rumped Flameback,Dinopium benghalense,,,,,,,
Indian Peafowl,Pavo cristatus,,,,,,,
Great Cormorant,Phalacrocorax carbo,,,,,,,
White-breasted Waterhen,Amaurornis phoenicurus,,,,,,,
Indian Spot-billed Duck,Anas poecilorhyncha,,,,,,,
Scaly-breasted Munia,Lonchura punctulata,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
