LAST EDITED DATE	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	OBSERVER ORCID ID	SAMPLING EVENT IDENTIFIER	OBSERVATION TYPE	PROTOCOL NAME	PROTOCOL CODE	PROJECT NAMES	PROJECT IDENTIFIERS	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	CHECKLIST COMMENTS	
2024-04-28 21:43:38.606673	India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Nivedita Park  Mysuru, Karnataka, IN (12.295, 76.608)	L6925709	P	12.2954782	76.6081352	2019-01-12	22:10:00	obsr771769		S51590305	Stationary	Stationary	P21			18			2	1	G3751454		
2024-04-28 22:40:46.046591	India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Nivedita Park  Mysuru, Karnataka, IN (12.295, 76.608)	L6925709	P	12.2954782	76.6081352	2019-02-27	22:15:00	obsr863281	https://orcid.org/0000-0001-6186-9250	S53190761	Traveling	Traveling	P22			18	0.400		1	1			
2024-04-28 21:43:38.606673	India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Nivedita Park  Mysuru, Karnataka, IN (12.295, 76.608)	L6925709	P	12.2954782	76.6081352	2019-01-12	22:10:00	obsr863281	https://orcid.org/0000-0001-6186-9250	S51590167	Stationary	Stationary	P21			18			2	1	G3751454		
2024-04-28 23:21:46.359099	India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Nivedita Park  Mysuru, Karnataka, IN (12.295, 76.608)	L6925709	P	12.2954782	76.6081352	2019-05-23	22:18:00	obsr863281	https://orcid.org/0000-0001-6186-9250	S56653956	Incidental	Incidental	P20						1	0			
2024-10-22 15:51:30.297935	India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Nivedita Park  Mysuru, Karnataka, IN (12.295, 76.608)	L6925709	P	12.2954782	76.6081352	2019-02-16	19:48:00	obsr863281	https://orcid.org/0000-0001-6186-9250	S52761418	Traveling	Traveling	P22			20	0.770		1	1			
2025-07-11 02:11:40.512055	India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Nivedita Park  Mysuru, Karnataka, IN (12.295, 76.608)	L6925709	P	12.2954782	76.6081352	2019-04-07	20:51:00	obsr863281	https://orcid.org/0000-0001-6186-9250	S54754621	Traveling	Traveling	P22			21	0.309		3	1			
2025-07-11 06:14:39.018981	India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Doora Kere ದೂರ ಕೆರೆ	L7002896	H	12.1479454	76.6006976	2019-03-27	08:33:00	obsr391659		S54266505	Traveling	Traveling	P22			25	0.164		1	1			
2024-04-28 22:27:14.875749	India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Mysore KSRTC Bus Stand,Mysuru, Karnataka, IN (12.312, 76.658)	L6983282	P	12.3118411	76.6583505	2019-02-24	06:30:00	obsr863281	https://orcid.org/0000-0001-6186-9250	S53071867	Incidental	Incidental	P20						1	0			
2024-04-28 23:03:13.328887	India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Mysore KSRTC Bus Stand,Mysuru, Karnataka, IN (12.312, 76.658)	L6983282	P	12.3118411	76.6583505	2019-04-10	17:33:00	obsr863281	https://orcid.org/0000-0001-6186-9250	S54775617	Stationary	Stationary	P21			6			1	1			
2024-04-28 23:10:40.387864	India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Mysore KSRTC Bus Stand,Mysuru, Karnataka, IN (12.312, 76.658)	L6983282	P	12.3118411	76.6583505	2019-04-28	05:35:00	obsr863281	https://orcid.org/0000-0001-6186-9250	S55487338	Incidental	Incidental	P20						1	0			
