GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	OBSERVER ORCID ID	SAMPLING EVENT IDENTIFIER	OBSERVATION TYPE	PROTOCOL NAME	PROTOCOL CODE	PROJECT NAMES	PROJECT IDENTIFIERS	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	CHECKLIST COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS482413553	2025-07-08 01:28:26.277606	19418	species	avibase-CC216A71	Black-naped Oriole	Oriolus chinensis				1					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Orange County Kabini Karnataka	L5659015	P	11.9260450	76.2710767	2017-04-06	06:54:00	obsr896078		S35728158	Banding	Banding	P33			180			60	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS636423772	2025-07-08 01:26:20.258448	22251	species	avibase-9C691722	Jerdon's Bushlark	Plocealauda affinis				X					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18225				Nagarahole National Park--Kabini ನಾಗರಹೊಳೆ ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನವನ--ಕಬಿನಿ	L4187119	H	11.9448988	76.2369991	2017-04-17		obsr636947		S46942460	Historical	Historical	P62						6	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS482413592	2025-07-08 01:28:26.277606	26362	species	avibase-5713B725	Jungle Babbler	Argya striata				5					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Orange County Kabini Karnataka	L5659015	P	11.9260450	76.2710767	2017-04-06	06:54:00	obsr896078		S35728158	Banding	Banding	P33			180			60	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS3340497176	2025-07-08 01:05:58.499228	6288	species	avibase-3222F80F	Oriental Pratincole	Glareola maldivarum				4					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Dadadahalli Kere (ದಡದಹಳ್ಳಿ ಕೆರೆ)	L2486935	H	12.2117408	76.6335869	2017-04-29	15:45:00	obsr3068939		S257020163	Traveling	Traveling	P22			150	6.000		2	1		1	0	0			Photographed the bird at the western edge of the lake	
URN:CornellLabOfOrnithology:EBIRD:OBS482413658	2025-07-08 01:28:26.277606	28749	species	avibase-0E5168F9	White-rumped Shama	Copsychus malabaricus				1					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY					Orange County Kabini Karnataka	L5659015	P	11.9260450	76.2710767	2017-04-06	06:54:00	obsr896078		S35728158	Banding	Banding	P33			180			60	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS514110821	2025-07-08 01:26:20.221435	22251	species	avibase-9C691722	Jerdon's Bushlark	Plocealauda affinis				4					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18225				Nagarahole National Park--Kabini ನಾಗರಹೊಳೆ ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನವನ--ಕಬಿನಿ	L4187119	H	11.9448988	76.2369991	2017-05-20	07:00:00	obsr452970		S37811790	Traveling	Traveling	P22			180	6.000		2	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS514115807	2025-07-08 01:26:20.172323	7959	species	avibase-F6D547B2	Tawny Eagle	Aquila rapax				1					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18225				Nagarahole National Park--Kabini ನಾಗರಹೊಳೆ ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನವನ--ಕಬಿನಿ	L4187119	H	11.9448988	76.2369991	2017-05-21	06:45:00	obsr452970		S37812192	Traveling	Traveling	P22			180	10.000		6	1		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS508272809	2025-07-08 01:26:20.044741	30790	species	avibase-C03E353A	Indian Silverbill	Euodice malabarica				4					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18225				Nagarahole National Park--Kabini ನಾಗರಹೊಳೆ ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನವನ--ಕಬಿನಿ	L4187119	H	11.9448988	76.2369991	2017-06-05	08:45:00	obsr659034		S37395602	Traveling	Traveling	P22			180	8.047		4	1	G2469622	0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS509041545	2025-07-08 01:26:20.102021	30790	species	avibase-C03E353A	Indian Silverbill	Euodice malabarica				4					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18225				Nagarahole National Park--Kabini ನಾಗರಹೊಳೆ ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನವನ--ಕಬಿನಿ	L4187119	H	11.9448988	76.2369991	2017-06-05	08:45:00	obsr840546		S37444651	Traveling	Traveling	P22			180	8.047		4	1	G2469622	0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS508326871	2025-07-08 01:26:20.081412	30790	species	avibase-C03E353A	Indian Silverbill	Euodice malabarica				4					India	IN	Karnataka	IN-KA	Mysuru	IN-KA-MY	BIRDLIFE_18225				Nagarahole National Park--Kabini ನಾಗರಹೊಳೆ ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನವನ--ಕಬಿನಿ	L4187119	H	11.9448988	76.2369991	2017-06-05	08:45:00	obsr645548		S37399585	Traveling	Traveling	P22			135	8.047		4	1	G2469622	0	0	0				
